Film,Year,Jump,Scary,Gore,IMDB,Rotten,Location,lat,lon
The Thing,1982,53,80,77,8.2,,usa,40,-120
Inside,2007,54,78,81,6.9,83%,france,46,2
Sinister,2012,70,78,48,6.8,62%,usa,40,-80
Rec,2007,73,78,67,7.5,96%,spain,40,4
Ringu,1998,61,77,25,7.3,97%,japan,36,138
The Descent,2006,61,76,61,7.2,85%,united kingdom,55,3
The Shining,1980,44,75,42,8.5,91%,usa,40,-90
Lights Out,2016,75,75,44,9,,usa,40,-100
Alien,1979,51,75,68,8.5,97%,usa,40,-110
The Conjuring 2,2016,76,74,32,,,usa,40,-120
The Exorcist,1973,47,73,43,8,87%,usa,40,-70
The Conjuring ,2013,71,72,26,7.5,86%,usa,40,-80
Event Horizon,1997,48,71,48,6.7,24%,usa,40,-90
I Am Not a Serial Killer,2016,57,70,54,8.6,,united kingdom,55,3
The Autopsy of Jane Doe,2016,71,70,69,7.4,,united kingdom,55,3
Eraserhead,1978,22,69,51,7.4,91%,usa,40,-100
Dwelling,2016,72,69,45,,,usa,40,-110
Hellraiser,1987,23,69,75,7.1,63%,united kingdom,55,3
Martyrs ,2008,53,69,85,7.1,52%,france,46,2
Martyrs (Remake),2016,42,68,55,5,,usa,40,-120
The Babadook,2014,44,68,20,6.9,98%,australia,-25,134
The Witch,2016,36,67,40,,,usa,40,-110
The Ring,2002,36,67,41,7.1,72%,usa,40,-120
Evil Dead,2013,52,67,84,6.5,62%,usa,40,-70
Insidious,2011,77,67,24,6.8,66%,usa,40,-80
The Texas Chainsaw Massacre,1974,34,67,45,7.5,91%,usa,40,-90
Noroi: The Curse,2005,20,67,15,7.1,,japan,36,138
The Woman in Black,2012,53,66,33,6.5,66%,united kingdom,55,3
Rings,2017,61,69,28,,,usa,40,-100
Ju-on: The Grudge,2003,38,66,15,6.7,,japan,36,138
The Exorcism of Emily Rose,2005,15,66,5,6.7,20%,usa,40,-110
It Follows,2015,45,66,25,7.1,96%,usa,40,-120
The Woods,2016,69,65,76,,,usa,40,-110
The Strangers,2008,54,65,45,6.2,45%,usa,40,-120
Paranormal Activity ,2009,62,64,16,6.3,83%,usa,40,-70
Halloween,1978,49,64,22,7.9,92%,usa,40,-80
"As Above, So Below",2014,18,64,10,6.1,26%,usa,40,-90
The Fly,1986,15,63,59,7.5,91%,usa,40,-100
Good Tidings,2016,37,63,49,,,usa,40,-120
Annabelle 2,2017,43,63,5,,,usa,40,-70
The Orphanage,2008,30,62,18,7.5,87%,spain,40,4
Saw,2004,40,62,63,7.7,48%,usa,40,-80
Train to Busan,2016,54,62,49,,,south korea,36,128
Don’t Breathe,2016,59,62,28,8.5,,usa,40,-90
Grave Encounters,2011,55,62,45,6.1,64%,canada,56,-106
The Boy,2016,61,62,35,,,usa,40,-100
Shutter,2004,48,60,27,7.1,,thailand,16,101
The Blair Witch Project,1999,33,60,25,6.4,87%,usa,40,-100
Hostel,2006,26,60,69,5.9,61%,usa ,40,-120
The Evil Dead,1983,36,60,62,7.6,96%,usa,40,-80
The Gracefield Incident,2017,10,60,35,,,canada,56,-106
Southbound,2016,40,59,59,6.4,,usa,40,-90
The Mothman Prophecies,2002,18,59,10,6.5,52%,usa,40,-100
Dead Silence,2007,66,58,49,6.2,21%,usa,40,-120
Silent Hill,2006,12,58,41,6.6,29%,canada,56,-106
In the Mouth of Madness,1995,46,57,43,7.2,47%,usa,40,-100
Insanitarium,2008,,57,,5.1,,usa,40,-80
It,2017,58,57,54,,,usa,40,-100
100 Tears,2007,61,57,55,4,27%,usa,40,-110
Jeepers Creepers,2001,35,56,41,6.1,45%,usa,40,-120
A Serbian Film,2012,16,56,75,5.3,46%,serbia,44,21
The Ruins,2008,18,56,35,5.9,48%,usa,40,-110
Ouija: Origin of Evil,2016,54,56,42,,,usa,40,-120
Black Christmas,1974,18,55,26,7.2,63%,canada,56,-106
The Others,2001,35,55,9,7.6,83%,spain,40,4
Piranhaconda,2012,9,55,,3,,usa,40,-70
The Road,2012,,55,,5.7,67%,usa,40,-80
A Monster Calls,2016,29,55,35,,,spain,40,4
Blair Witch,2016,46,55,9,5.3,,usa,40,-90
Insidious: Chapter 3,2015,68,55,27,6.3,60%,usa,40,-100
Before I Wake,2016,52,55,12,,,usa,40,-110
The Visit,2015,49,54,30,6,75%,usa,40,-120
The Grudge,2004,58,54,27,5.9,39%,usa,40,-90
Insidious: Chapter 4,2017,44,54,51,,,usa,40,-100
Audition,2000,24,54,46,7.2,79%,japan,36,138
Oculus,2014,50,54,20,6.5,73%,usa,40,-70
Agatha,2016,27,53,49,,,usa,40,-80
Candyman,1992,40,53,21,6.6,71%,usa,40,-90
A Nightmare on Elm Street,1984,55,53,37,7.5,94%,usa,40,-100
Hush,2016,44,52,42,6.7,,usa,40,-110
The Void,2017,43,52,43,5.9,73%,canada,56,-106
Creep,2015,69,52,17,6.2,95%,usa,40,-120
The Hills Have Eyes,2006,35,52,66,6.4,49%,usa,40,-70
The Wailing,2016,33,52,44,7.5,,south korea,36,128
WTF!,2015,63,52,55,,,usa,40,-80
